,left,right
103,1377167,893804.0
104,1377175,1311597.0
105,1647512,557944.0
106,1704860,992125.0
107,1565599,1295231.0
108,1377191,1328001.0
109,1541032,1688455.0
110,1631145,1950602.0
111,1278903,992139.0
112,1360843,1393552.0
113,656354,2007954.0
114,1278947,295849.0
115,1336299,1377198.0
116,1516536,328632.0
117,1287162,1319881.0
118,1377274,1311697.0
119,1360893,1655775.0
120,1721342,1434598.0
121,2294784,1278959.0
122,943145,1401852.0
123,1295406,1336321.0
124,1500207,1549338.0
125,1860656,992309.0
126,1156145,1344565.0
127,1385530,1999932.0
128,992318,476224.0
129,1385536,1360967.0
130,1975364,1590351.0
131,1385542,1999956.0
132,1074256,1344599.0
133,992337,590953.0
134,992344,1688689.0
135,1090653,992374.0
136,1623138,992383.0
137,992355,1426565.0
138,1082470,992401.0
139,1279078,1311897.0
140,1303655,1442970.0
141,992365,1639584.0
142,1729648,992419.0
143,1393787,189615.0
144,1541262,992438.0
145,1647763,992446.0
146,1295517,1377483.0
147,992429,1590476.0
148,320687,672986.0
149,1623227,1410274.0
150,1582275,1393903.0
151,992455,1410290.0
152,1484007,1361146.0
153,1623277,34044.0
154,296186,156947.0
155,1336580,1287449.0
156,1828100,2008355.0
157,2008327,1729830.0
158,361741,1328429.0
159,1279252,1361208.0
160,1361174,2295109.0
161,1393942,1434961.0
162,1860886,1361239.0
163,1598752,984413.0
164,1156418,1680741.0
165,58694,615803.0
166,1361224,1590675.0
167,1328477,1312181.0
168,1328483,804282.0
169,1303909,1312187.0
170,1361264,280016.0
171,1951105,1574360.0
172,689547,1230301.0
173,1631633,1312224.0
174,1336723,2008544.0
175,2008469,1934818.0
176,181663,1574394.0
177,1361317,1525257.0
178,1574311,1279508.0
179,943540,1541658.0
180,738760,140828.0
181,550345,1279518.0
182,1156554,1312289.0
183,1238488,1279525.0
184,1549787,26163.0
185,1517020,1279543.0
186,525800,493121.0
187,1525235,1631808.0
188,58877,1959492.0
189,1959421,1328714.0
190,1361412,1279563.0
191,1476102,1377866.0
192,837128,1361489.0
193,2008588,1443411.0
194,1361460,452180.0
195,452157,1459796.0
196,673344,1353303.0
197,2008640,1361497.0
198,1361481,1279584.0
199,1295953,2016881.0
200,58968,1123964.0
201,2008663,1279612.0
202,1394281,198277.0
203,1312363,1435271.0
204,386671,2016902.0
205,1656440,108173.0
206,1345150,575119.0
207,1730175,1590954.0
208,2016896,1115832.0
209,1312390,1345237.0
210,1386139,1328854.0
211,83642,1410776.0
212,1435324,607961.0
213,1402559,493278.0
214,1386177,796391.0
