,head,pygidium,1,2,3
63,442961,1324600.0,1361460.0,1959421.0,1361412.0
64,1417810,1349386.0,1361481.0,1476102.0,1353303.0
65,1294947,55057.0,1361489.0,1525257.0,1279612.0
66,1278565,1349434.0,1443411.0,2008588.0,1312390.0
67,1155695,1275823.0,1361497.0,493121.0,1435271.0
68,1303153,1570796.0,2016881.0,1631808.0,1386139.0
69,1294966,1366275.0,1656440.0,2008640.0,1590954.0
70,1294978,1440477.0,1656520.0,1295953.0,1435324.0
71,1327767,228289.0,1656524.0,2008663.0,1410776.0
72,1286825,1178663.0,607961.0,1394281.0,1976063.0
73,1704627,1342725.0,1312505.0,1312363.0,1435418.0
74,541367,1408570.0,1779518.0,575119.0,1648444.0
75,1278649,1678918.0,1312586.0,1591058.0,1435458.0
76,1729214,1392216.0,1582964.0,1500956.0,1419083.0
77,983759,1392222.0,1378190.0,1607477.0,1427287.0
78,180953,1277759.0,1435540.0,1345337.0,1386336.0
79,1319649,1368025.0,1312678.0,1394518.0,1460113.0
80,1319657,1597423.0,608173.0,575319.0,1173400.0
81,74477,,1312731.0,1468265.0,1435591.0
82,770802,,1533917.0,1402736.0,1583047.0
83,1311483,,1280027.0,1312647.0,1443798.0
84,1123072,,1304654.0,1460107.0,2000911.0
85,1303297,,1583195.0,1525669.0,1386544.0
86,1319704,,1665129.0,1673139.0,1411126.0
87,115486,,1509512.0,1845175.0,1697854.0
88,246584,,1763522.0,1755080.0,1411136.0
89,1311558,,608460.0,2000850.0,1370203.0
90,893804,,518390.0,575448.0,1419394.0
91,1311597,,1427703.0,2000882.0,1394876.0
92,41848,,1829164.0,600071.0,1403093.0
93,557944,,1280329.0,1329166.0,1181940.0
94,1704860,,1419639.0,1632286.0,936192.0
95,295849,,1403261.0,1845305.0,1730843.0
96,328632,,1304990.0,1837125.0,1239327.0
97,1319881,,1493426.0,1468500.0,1362300.0
98,1311697,,1739198.0,1394792.0,1395094.0
99,656354,,518599.0,2001006.0,1763759.0
100,1377274,,1018325.0,1828978.0,1026501.0
101,1721342,,1378791.0,1280134.0,1337798.0
102,2294784,,1296919.0,1468567.0,1386950.0
103,1336321,,1714711.0,1427617.0,1337804.0
104,1156145,,1608290.0,1484968.0,1386964.0
105,476224,,1501795.0,1411256.0,1731062.0
106,1074256,,1501807.0,1444039.0,1845855.0
107,1090653,,1739384.0,1394905.0,1731263.0
108,1303655,,1567361.0,1468636.0,1387208.0
109,590953,,1338017.0,1730785.0,1616645.0
110,1688689,,1501871.0,1444070.0,1436454.0
111,1311897,,1731304.0,1566960.0,478001.0
112,1639584,,1649437.0,1485047.0,1420085.0
113,189615,,944941.0,1566972.0,1026962.0
114,320687,,1690429.0,1394963.0,1387435.0
115,672986,,1313602.0,1632536.0,1379252.0
116,296186,,592728.0,1567002.0,1444805.0
117,34044,,1305461.0,1648927.0,1387465.0
118,361741,,1649555.0,1673505.0,1387530.0
119,1860886,,1305492.0,575787.0,1420302.0
120,1287449,,1846187.0,1845563.0,1166368.0
121,1328429,,1395664.0,1648958.0,1436707.0
122,1156418,,1387474.0,1567054.0,1420342.0
123,2295109,,1453008.0,1304924.0,1436736.0
124,58694,,1166300.0,1829214.0,1420356.0
125,984413,,568290.0,575853.0,1625158.0
126,1303909,,1395692.0,1460631.0,1731718.0
127,615803,,1395717.0,1739164.0,1420440.0
128,1336723,,1395731.0,1952161.0,1387674.0
129,181663,,1674291.0,1051076.0,1420457.0
130,1361317,,715837.0,1731014.0,1576108.0
131,1312181,,1297489.0,1436108.0,1420472.0
132,1312187,,1592405.0,1567189.0,1576129.0
133,738760,,1453145.0,1354209.0,1420496.0
134,550345,,1297501.0,1567204.0,1420504.0
135,1156554,,1150049.0,2001380.0,1420510.0
136,1312224,,1420415.0,1624567.0,1436895.0
137,58877,,1485984.0,1477119.0,1420530.0
138,837128,,2010309.0,1845760.0,1051922.0
139,140828,,1486039.0,1690116.0,1437030.0
140,26163,,1354979.0,2009602.0,707997.0
141,452157,,2010340.0,1460772.0,1052127.0
142,673344,,1600760.0,1968682.0,1576450.0
143,1959492,,1395980.0,1567283.0,1388085.0
144,1328714,,945427.0,1460810.0,1797698.0
145,1377866,,1854746.0,1616482.0,1846855.0
146,452180,,1600836.0,518764.0,1445460.0
147,58968,,1305955.0,1616492.0,708202.0
148,386671,,1396068.0,1378941.0,1453675.0
149,1123964,,568702.0,1460921.0,1617521.0
150,1345150,,568710.0,764615.0,1846918.0
151,2016896,,1559953.0,1477378.0,1732257.0
152,198277,,1609129.0,1403656.0,1486527.0
153,2016902,,1404358.0,1329930.0,1339080.0
154,108173,,1592784.0,1674019.0,1732295.0
155,1115832,,1404375.0,1567572.0,1339088.0
156,83642,,1404382.0,1436506.0,1732322.0
157,1402559,,1412575.0,1395556.0,1478389.0
158,1345237,,1404388.0,1584011.0,1486591.0
159,1328854,,1453547.0,1436570.0,519936.0
160,493278,,1338917.0,1395614.0,1453826.0
161,796391,,1855014.0,1837982.0,1421064.0
162,247535,,1592906.0,1280930.0,1486628.0
163,57341,,1396335.0,1395647.0,1339180.0
164,493317,,1592945.0,1420237.0,1486647.0
