,skids,side,class,segment,type,group
710,1566972,right,muscle,2,,
711,2017535,right,inter,head,,12.0
712,936192,left,ciliated,3,,
713,1427724,,,,,
714,1394963,left,motor,2,106.0,
715,59671,right,sensory,head,1.0,
716,1632536,left,muscle,2,,
717,108826,left,motor,head,85.0,
718,1567002,right,muscle,2,,
719,1730843,right,inter,3,,4.0
720,1239327,left,motor,3,65.0,
721,1648927,left,muscle,2,,
722,780577,right,sensory,head,172.0,
723,370978,right,sensory,pygidium,54.0,9.0
724,1673505,right,muscle,2,,
725,1706274,,,,,
726,10536,left,sensory,head,1.0,
727,575787,right,ciliated,2,,
728,1829164,right,inter,1,150.0,2.0
729,1550645,,,,,
730,837942,left,sensory,head,13.0,
731,1304890,,,,,
732,1419579,,,,,
733,1452348,right,epithelia,pygidium,,
734,1845563,left,inter,2,109.0,
735,1648958,left,muscle,2,,
736,1345862,left,sensory,,167.0,
737,1280329,right,inter,1,,1.0
738,108877,,,,,
739,1567054,left,,2,,
740,35154,right,inter,head,,
741,1730901,left,sensory,head,100.0,15.0
742,1116504,right,sensory,head,,
743,1157465,left,inter,head,,
744,1567066,right,,,,
745,1304924,right,inter,2,79.0,7.0
746,1829214,right,inter,2,154.0,3.0
747,1485154,left,muscle,0,,
748,1460581,,,,,
749,1313126,left,inter,pygidium,146.0,3.0
750,1321320,,,,,
751,1370473,left,inter,head,,
752,1829226,,,,,
753,575853,right,muscle,2,,
754,1599859,,,,,
755,313716,right,inter,head,7.0,
756,1419639,left,inter,1,,2.0
757,1362300,left,inter,3,,3.0
758,1403261,right,inter,1,,2.0
759,1952126,,,,,
760,1304968,right,inter,head,23.0,
761,1304979,right,inter,head,,
762,1477012,,,,,
763,1395094,right,inter,3,,3.0
764,1460631,right,inter,2,,1.0
765,1739164,left,,2,,1.0
766,1304990,right,inter,1,78.0,7.0
767,1952161,left,sensory,2,,
768,1444259,,,,,
769,1952169,,,,,
770,1763759,right,motor,3,159.0,
771,1493426,left,inter,1,,6.0
772,27064,right,sensory,head,1.0,
773,1739198,left,inter,1,158.0,4.0
774,1051076,right,muscle,2,,
775,1026501,right,motor,3,64.0,
776,1337798,right,sensory,3,80.0,
777,518599,left,ciliated,1,,
778,1386950,right,inter,3,,4.0
779,1731014,right,inter,2,,6.0
780,92619,left,inter,head,124.0,12.0
781,1337804,right,sensory,3,91.0,
782,1436108,left,motor,2,165.0,
783,174545,left,ciliated,head,,
784,1329618,left,,,,
785,1386964,left,,3,,
786,1018325,left,inter,1,,4.0
787,1567189,right,motor,2,63.0,
788,1354209,left,inter,2,,1.0
789,207330,left,ciliated,head,,
790,1133028,,,,,
791,1567204,right,muscle,2,,
792,1952229,,,,,
793,1378791,left,inter,1,,5.0
794,2001380,left,inter,2,,1.0
795,84457,rc,ciliated,head,,
796,2255347,,,,,
797,1731062,right,sensory,3,71.0,
798,1624567,left,inter,2,108.0,
799,584184,left,inter,head,,
800,1411577,right,sensory,head,32.0,
801,2001402,,,,,
802,1214973,left,sensory,head,13.0,
803,1477119,right,motor,2,,
804,1845760,right,sensory,2,71.0,
805,1329666,right,sensory,head,,15.0
806,1321475,right,inter,head,75.0,13.0
807,1427971,left,,,,
808,1690116,right,sensory,2,91.0,
809,1075718,left,sensory,head,27.0,
810,190983,right,inter,head,23.0,
811,2009602,right,inter,2,,3.0
812,1411593,right,sensory,head,32.0,
813,1419787,right,sensory,head,,
814,1296919,right,inter,1,,
815,1714711,right,inter,1,,
816,1280537,right,inter,head,,
817,1411609,right,inter,head,,
818,1460772,right,motor,2,64.0,
819,1215017,right,inter,head,140.0,13.0
820,1968682,left,inter,2,,
821,1411627,left,sensory,head,29.0,
822,1075760,right,sensory,head,13.0,
823,1591857,,,,,
824,1567283,right,muscle,2,,
825,1821239,,,,,
826,1321532,left,inter,head,,12.0
827,1370693,right,inter,0,,1.0
828,1460810,left,muscle,2,,
829,1616478,,,,,
830,1657438,,,,,
831,387680,left,inter,head,,
832,1387104,left,inter,pygidium,147.0,
833,1608290,left,inter,1,,7.0
834,1501795,left,muscle,1,,
835,1616482,left,inter,2,,
836,1845855,right,inter,3,,1.0
837,518764,left,muscle,2,,
838,1616492,right,inter,2,,7.0
839,1501807,left,muscle,1,,
840,1608303,,,,,
841,780915,left,inter,head,,12.0
842,1976948,,,,,
843,1739384,right,motor,1,151.0,
844,1378941,right,muscle,2,,
845,1567361,right,inter,1,,
