,l,r
395,1339008,1412575.0
396,708228,1371619.0
397,1846918,1404388.0
398,503432,1928680.0
399,1633938,1453547.0
400,1322645,1732111.0
401,1404567,1306131.0
402,2313882,1486363.0
403,1633963,1306147.0
404,298685,1068584.0
405,1461953,1306155.0
406,1486527,1928754.0
407,77507,192051.0
408,1633987,347709.0
409,1339088,1797698.0
410,1273554,1846855.0
411,1273563,1592906.0
412,1732322,593488.0
413,77552,1461846.0
414,1732338,1732185.0
415,167671,1322586.0
416,1732349,1396320.0
417,1486591,1396335.0
418,519936,1592945.0
419,1625884,1584762.0
420,1486628,1330831.0
421,1339180,1339023.0
422,1486647,1396374.0
423,1314620,1306268.0
424,44863,1732257.0
425,1732420,1355427.0
426,1027911,1158821.0
427,1560393,1347263.0
428,1027917,1593030.0
429,1347407,1371847.0
430,12115,1732295.0
431,1027923,1732300.0
432,1363796,1584845.0
433,585558,1568469.0
434,1568596,192214.0
435,1732439,1928926.0
436,1281886,331495.0
437,1732448,2010859.0
438,1396596,1306349.0
439,1027959,1830642.0
440,1306490,1568505.0
441,1462145,192257.0
442,1699713,1617669.0
443,1937281,1421064.0
444,1027978,1371922.0
445,1281939,1568536.0
446,1372056,1568544.0
447,77730,2010915.0
448,429993,1568555.0
449,1437617,896817.0
450,1224630,1380150.0
451,1699767,2019137.0
452,1486784,192323.0
453,1626051,1331032.0
454,1281988,257885.0
455,135113,1855339.0
456,1355728,1568623.0
457,1462225,1920885.0
458,1126354,1585014.0
459,1847252,987008.0
460,1101784,380842.0
461,1306584,1314734.0
462,1486810,192436.0
463,1396714,954295.0
464,1306608,593849.0
465,1339377,1757115.0
466,1077241,577483.0
467,1298426,888787.0
468,1462290,774105.0
469,1396762,1568781.0
470,1568802,1216549.0
471,1298484,1650725.0
472,1396790,290858.0
473,1388614,1077309.0
474,1560655,192595.0
475,1265745,1732697.0
476,1388649,364674.0
477,1314929,1355911.0
478,1691763,1609864.0
479,1388660,1396899.0
480,1298552,1618091.0
481,1421448,1274031.0
482,1568912,1241266.0
483,1364158,1396918.0
484,1470654,1585339.0
485,1274053,1380543.0
486,1323208,1560783.0
487,1700043,1315028.0
488,766165,1306859.0
489,1339608,1585394.0
490,1347815,1388788.0
491,422125,1364226.0
492,1421566,1626390.0
493,1118465,2306326.0
494,1249546,1306906.0
495,1339663,1028395.0
496,463126,192812.0
497,1265951,1446191.0
498,151847,1331507.0
499,110892,1028407.0
500,1405233,241978.0
501,1601839,1364315.0
502,1569080,1397111.0
503,1569091,1315203.0
504,1544524,962948.0
505,1405261,160141.0
506,1569102,1839508.0
507,1487196,594344.0
508,1339741,1683885.0
509,1569125,1380795.0
510,1339753,1315271.0
511,1683821,1405399.0
512,1069423,1380835.0
513,1282428,1380843.0
514,1323402,1282582.0
515,520593,193047.0
516,1356178,954910.0
517,1405336,1397285.0
518,1298844,1675823.0
519,1298856,1397326.0
520,1855915,1307230.0
521,1855933,1323621.0
522,1847754,1307247.0
523,1298898,1299058.0
524,1626582,1446515.0
525,1356253,111231.0
526,1364445,119436.0
527,45548,1413805.0
528,430600,955074.0
529,1847818,37580.0
530,1421839,1381077.0
531,1323536,1585890.0
532,537119,1741539.0
533,537125,1274603.0
534,1364517,1725169.0
535,1380903,1381112.0
536,520755,1364769.0
537,1421893,1135395.0
538,1274440,54090.0
539,1725002,1454932.0
540,1331806,1323882.0
541,1397346,1528697.0
542,1348199,1569660.0
543,1397352,1307524.0
544,1741418,1348484.0
545,1741422,1397639.0
546,1274485,1405840.0
547,1675901,1282965.0
548,1626756,1430426.0
549,1028750,1274799.0
550,1454752,1594313.0
551,1446561,250842.0
552,1831596,955370.0
553,488162,1283053.0
554,1372913,1340398.0
555,979707,1307663.0
556,1323773,1586199.0
557,1454846,1332248.0
558,1831679,1971227.0
559,463617,1332260.0
560,1381127,1725480.0
561,1356560,1840169.0
562,1405726,308269.0
563,1856288,1324107.0
564,1626922,357455.0
565,1323828,1340501.0
566,1389371,758871.0
567,1299267,1332314.0
568,144261,390240.0
569,1373064,1578084.0
570,1848249,1356912.0
571,1471420,1602680.0
572,1274820,1545339.0
573,1635279,1586304.0
574,1430491,1299586.0
575,1438682,1332367.0
576,1471450,1348770.0
577,1422303,1332389.0
578,1348581,1356971.0
579,1029097,185521.0
580,660463,1815732.0
581,1397746,1356982.0
582,1356793,324793.0
583,1700859,177343.0
584,939008,1381575.0
585,1397762,111828.0
586,758789,185562.0
587,1258527,414949.0
588,1520675,1340647.0
589,1348649,857325.0
590,1348661,1504505.0
591,1397815,1971452.0
592,1971259,1275135.0
593,1414213,1971464.0
594,1455178,1316107.0
595,1700942,1447180.0
596,1307745,193819.0
597,1381501,1340703.0
598,1447037,1504562.0
599,1397887,1488194.0
600,1275010,111948.0
601,1717380,1185115.0
602,1545349,1348968.0
603,668812,1357166.0
604,1275026,1545589.0
605,13459,431489.0
606,1275053,1349004.0
607,2028720,1349009.0
608,1635512,316821.0
609,1086656,1488284.0
610,1316038,1349023.0
611,1414358,1349034.0
612,1250520,1160628.0
613,1635545,1381820.0
614,1316070,1971650.0
615,1971433,1652177.0
616,1365232,1545686.0
617,1414384,1340899.0
618,275699,1316332.0
619,1848592,1349113.0
620,1381662,1578507.0
621,1316130,1480211.0
622,1725737,1070612.0
623,1717565,1324600.0
624,1520958,153151.0
625,1455427,1381952.0
626,1627479,824903.0
627,1275230,71248.0
628,2233700,1554019.0
629,1275243,169574.0
630,1308022,366190.0
631,505209,587391.0
632,1340805,54919.0
633,1406349,988822.0
634,1455507,284315.0
635,1185175,259763.0
636,1349040,1275595.0
637,423355,1341140.0
638,1349051,1832672.0
639,1856971,1963755.0
640,1455565,55057.0
641,1349072,1742612.0
642,1349077,1423131.0
643,1275357,1357597.0
644,1390047,628517.0
645,1455582,1398573.0
646,1684965,907055.0
647,1324518,1562433.0
648,1275367,399192.0
649,1381871,366449.0
650,1381884,399224.0
651,1324546,1275768.0
652,1381896,1570688.0
653,1570324,759694.0
654,1488411,227221.0
655,1422884,399266.0
656,1652260,1611683.0
657,1324587,1333158.0
658,1381937,309165.0
659,1463859,1275823.0
