,left,right
102,1639181,1319657.0
103,1950485,770802.0
104,1278748,369396.0
105,115486,1270523.0
106,942898,1311483.0
107,1278774,1123072.0
108,1622869,1442572.0
109,992087,1319704.0
110,992096,1450796.0
111,1631093,1033010.0
112,41848,1409843.0
113,1377175,1696562.0
114,1647512,1778482.0
115,1352604,246584.0
116,1704860,1295161.0
117,1565599,1311558.0
118,1377191,1753932.0
119,1541032,557901.0
120,1631145,1000272.0
121,1278903,1016678.0
122,1360843,893804.0
123,656354,1311597.0
124,1278947,557944.0
125,1336299,992125.0
126,1459186,1295231.0
127,1516536,1328001.0
128,1287162,1950602.0
129,1377274,992139.0
130,1360893,1393552.0
131,1328126,2007954.0
132,1721342,295849.0
133,943145,1377198.0
134,1295406,1794992.0
135,1500207,328632.0
136,1860656,1319881.0
137,1156145,1311697.0
138,1385530,1311712.0
139,992318,1434598.0
140,1385536,1426413.0
141,1975364,1278959.0
142,1385542,1336321.0
143,1074256,1385497.0
144,992337,1549338.0
145,992344,992309.0
146,1090653,1344565.0
147,1623138,476224.0
148,992355,1360967.0
149,1082470,1590351.0
150,1279078,1999956.0
151,1303655,1344599.0
152,992365,1172582.0
153,1729648,590953.0
154,1393787,1688689.0
155,1541262,992374.0
156,1647763,992383.0
157,1295517,1426565.0
158,992429,992401.0
159,320687,1311897.0
160,1688755,1442970.0
161,1623227,1639584.0
162,1582275,992419.0
163,992455,189615.0
164,812240,992438.0
165,1484007,992446.0
166,1623277,1426630.0
167,296186,1377483.0
168,1828100,1590476.0
169,2008327,386260.0
170,361741,672986.0
171,1279252,1410274.0
172,1361174,1393903.0
173,1393942,1410290.0
174,1860886,1361146.0
175,1598752,34044.0
176,1566006,1639675.0
177,1459514,1287439.0
178,1156418,156947.0
179,58694,1287449.0
180,1361224,2008355.0
181,1410390,1729830.0
182,1631578,1393960.0
183,1328477,2016553.0
184,1328483,1426732.0
185,1303909,1328429.0
186,1361264,1361208.0
187,1951105,1434961.0
188,689547,984413.0
189,1631633,1369462.0
190,1336723,615803.0
191,2008469,1590675.0
192,181663,1656212.0
193,1361317,1435058.0
194,1574311,1312181.0
195,943540,804282.0
196,2000315,1312187.0
197,1631685,1975751.0
198,738760,1295823.0
199,550345,280016.0
200,1156554,1230301.0
201,1852885,2008544.0
202,1238488,1934818.0
203,1549787,1574394.0
204,1312224,1525257.0
205,525800,1279508.0
206,1385968,583190.0
207,1525235,1541658.0
208,58877,140828.0
209,1959421,1279518.0
210,1361412,1312289.0
211,837128,1328673.0
212,2008588,1279525.0
213,1361468,771631.0
